ingredient_extracted,ingredient_standardized,frecuencia
"cebolla roja pequena, finas",cebolla,2
cebolla roja finas,cebolla,2
cebolla roja en tajadas delgadas,cebolla,2
cebolla larga parte verde solamente,cebolla larga,2
cebolla finas,cebolla,2
"cebolla blanca,",cebolla,2
cebolllas largas,cebollla larga,2
cebollas,cebolla,2
pescado,pescado,2
pequenos de chicharron de cerdo,chicharron de cerdo,2
"pepino,",pepino,2
pepino y,pepino,2
polvo de achiote o color,achiote,2
pollo entero,pollo entero,2
platanos verdes pelados y pequenos,platano,2
platanos verdes pelados,platano,2
camarones pelados y limpios,camaron,2
camarones pelados y desvenados,camaron,2
platanos muy maduros pelados,platano,2
platanos maduros pelados y en pure,platano,2
pepino ingles,pepino ingl,2
pepino,pepino,2
"pechugas de pollo con hueso, piel",pechuga de pollo con hueso piel,2
pechugas de pollo con hueso y,pechuga de pollo con hueso,2
patacones para servir,patacon para servir,2
"pasta de guayaba bocadillo,",pasta de guayaba bocadillo,2
pasta de guayaba bocadillo,pasta de guayaba bocadillo,2
"chocolate dulce, afeitado y dividido",chocolate dulce afeitado y dividido,2
chile jalapeno,chile jalapeno,2
chile en polvo,chile en polvo,2
cafe o espresso muy fuerte,cafe o espresso muy fuerte,2
cafe instantaneo,cafe instantaneo,2
queso freso mexicano o quesito colombiano,queso freso mexicano o quesito colombiano,2
queso feta o queso costeno,queso feta o queso costeno,2
queso costeno o feta,queso costeno o feta,2
queso blanco para freir en 4 palos de 1/2 pulgada,queso para freir en 4 palo de 1 2 pulgada,2
pulpa mora,pulpa mora,2
pulpa de maracuya,pulpa de maracuya,2
camarones cocinados,camaron,2
camarones cocidos,camaron,2
champinones portobello,champinon portobello,2
cerveza oscura,cerveza oscura,2
cerezas,cereza,2
chuletas de cerdo,chuleta de cerdo,2
chorizos colombianos cocinados,chorizo colombiano cocinado,2
chorizo y cocinado,chorizo y cocinado,2
chorizo o tocineta,chorizo o tocineta,2
papas rojas peladas y,papa,2
papas pequenas amarillas peladas y por la,papa,2
queso o quesito colombiano,queso o quesito colombiano,2
queso o quesito,queso o quesito,2
queso mozzarella o,queso mozzarella,2
queso mozzarella 2 pulgadas de espesor,queso mozzarella,2
caldo de pollo o vegetales,caldo de pollo,2
caldo de pollo o de verduras,caldo de pollo,2
calabaza y,calabaza,2
papas medianas peladas y,papa,2
papas grandes peladas y pequeunos,papa,2
clavo de olor,clavo de olor,2
clavo,clavo,2
cilantro y mas para servir,cilantro,2
cilantro y mas,cilantro,2
papas grandes peladas cocidas y,papa,2
papas grandes peladas,papa,2
"barra de mantequilla 1/4, y pequenos",barra de mantequilla 1 4,2
